Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_us_desti_principal,Concepte,Nombre
2023,1,Ciutat Vella,1,el Raval,12,Indústria,Nombre,2
2023,1,Ciutat Vella,1,el Raval,12,Oficines,Valor_€,1457033.21
2023,1,Ciutat Vella,1,el Raval,12,Magatzem,Valor_€,472140.55
2023,1,Ciutat Vella,1,el Raval,12,Aparcaments,Valor_€,873156.83
2023,1,Ciutat Vella,1,el Raval,12,Ensenyament i cultura,Valor_€,1108415.47
2023,1,Ciutat Vella,1,el Raval,12,Comerç,Valor_€,4195606.07
2023,1,Ciutat Vella,1,el Raval,12,Habitatge,Valor_€,60311311.92
2023,1,Ciutat Vella,1,el Raval,12,Religiós,Valor_€,1182446.05
2023,1,Ciutat Vella,1,el Raval,12,Indústria,Valor_€,156694.9
2023,1,Ciutat Vella,1,el Raval,13,Magatzem,Superfície_m2,4751
2023,1,Ciutat Vella,1,el Raval,13,Comerç,Superfície_m2,4593
2023,1,Ciutat Vella,1,el Raval,13,Turisme i hostaleria,Superfície_m2,1565
2023,1,Ciutat Vella,1,el Raval,13,Habitatge,Superfície_m2,42770
